Open time,Close,LogReturn,Volatility,Close_lag_7,Close_lag_14,Close_lag_21,Close_lag_28,target_t+1,target_t+2,target_t+3,target_t+4,target_t+5,target_t+6,target_t+7
2018-02-28,10326.76,-0.023190388304420374,1.3709913339161028,10437.6,9449.99,7599.0,10285.1,10920.0,11039.0,11464.48,11515.0,11454.0,10716.48,9910.0
2018-03-01,10920.0,0.05585738594789953,1.3446431299810995,9811.04,10000.09,7784.02,9224.52,11039.0,11464.48,11515.0,11454.0,10716.48,9910.0,9271.64
2018-03-02,11039.0,0.010838486719455614,1.3449613571301795,10131.04,10159.98,8683.92,8873.03,11464.48,11515.0,11454.0,10716.48,9910.0,9271.64,9227.0
2018-03-03,11464.48,0.0378191028154963,1.2884572563925425,9694.51,11039.55,8533.98,9199.96,11515.0,11454.0,10716.48,9910.0,9271.64,9227.0,8770.22
2018-03-04,11515.0,0.004396973420937615,1.2777703299493113,9590.0,10383.43,8063.88,8184.81,11454.0,10716.48,9910.0,9271.64,9227.0,8770.22,9533.57
2018-03-05,11454.0,-0.005311519300982928,1.2747260364655455,10324.0,11153.0,8903.0,6939.99,10716.48,9910.0,9271.64,9227.0,8770.22,9533.57,9131.34
2018-03-06,10716.48,-0.06655627045932556,1.2240510143722891,10569.04,11200.99,8539.9,7652.14,9910.0,9271.64,9227.0,8770.22,9533.57,9131.34,9150.0
2018-03-07,9910.0,-0.07823839517044331,1.0999987749583038,10326.76,10437.6,9449.99,7599.0,9271.64,9227.0,8770.22,9533.57,9131.34,9150.0,8170.0
2018-03-08,9271.64,-0.06658406963285031,1.0878773869427925,10920.0,9811.04,10000.09,7784.02,9227.0,8770.22,9533.57,9131.34,9150.0,8170.0,8240.98
2018-03-09,9227.0,-0.004826310112627507,1.0875716707317902,11039.0,10131.04,10159.98,8683.92,8770.22,9533.57,9131.34,9150.0,8170.0,8240.98,8260.0
2018-03-10,8770.22,-0.05077207700814944,1.1035452638140062,11464.48,9694.51,11039.55,8533.98,9533.57,9131.34,9150.0,8170.0,8240.98,8260.0,7824.8
2018-03-11,9533.57,0.08345736243611354,1.0757111421750942,11515.0,9590.0,10383.43,8063.88,9131.34,9150.0,8170.0,8240.98,8260.0,7824.8,8189.99
2018-03-12,9131.34,-0.043106801293249175,1.0855686195972352,11454.0,10324.0,11153.0,8903.0,9150.0,8170.0,8240.98,8260.0,7824.8,8189.99,8600.0
2018-03-13,9150.0,0.002041426556296274,1.0645777632106597,10716.48,10569.04,11200.99,8539.9,8170.0,8240.98,8260.0,7824.8,8189.99,8600.0,8909.98
2018-03-14,8170.0,-0.1132849704155184,1.0840254138823082,9910.0,10326.76,10437.6,9449.99,8240.98,8260.0,7824.8,8189.99,8600.0,8909.98,8885.0
2018-03-15,8240.98,0.0086503600164496,1.0755442165252613,9271.64,10920.0,9811.04,10000.09,8260.0,7824.8,8189.99,8600.0,8909.98,8885.0,8722.9
2018-03-16,8260.0,0.0023053186445256128,1.010311960776723,9227.0,11039.0,10131.04,10159.98,7824.8,8189.99,8600.0,8909.98,8885.0,8722.9,8898.03
2018-03-17,7824.8,-0.05412641053874062,0.9998333768783059,8770.22,11464.48,9694.51,11039.55,8189.99,8600.0,8909.98,8885.0,8722.9,8898.03,8546.86
2018-03-18,8189.99,0.04561449986886557,1.0141203585911078,9533.57,11515.0,9590.0,10383.43,8600.0,8909.98,8885.0,8722.9,8898.03,8546.86,8470.15
2018-03-19,8600.0,0.048849526396450536,0.9823636095925276,9131.34,11454.0,10324.0,11153.0,8909.98,8885.0,8722.9,8898.03,8546.86,8470.15,8134.23
2018-03-20,8909.98,0.03540979355182516,0.9746296877168217,9150.0,10716.48,10569.04,11200.99,8885.0,8722.9,8898.03,8546.86,8470.15,8134.23,7795.51
2018-03-21,8885.0,-0.002807535204672574,0.9347755507581202,8170.0,9910.0,10326.76,10437.6,8722.9,8898.03,8546.86,8470.15,8134.23,7795.51,7949.3
2018-03-22,8722.9,-0.01841271016713497,0.9345012594620645,8240.98,9271.64,10920.0,9811.04,8898.03,8546.86,8470.15,8134.23,7795.51,7949.3,7090.14
2018-03-23,8898.03,0.01987815248285389,0.9116475458670481,8260.0,9227.0,11039.0,10131.04,8546.86,8470.15,8134.23,7795.51,7949.3,7090.14,6840.23
2018-03-24,8546.86,-0.04026593988898665,0.8977603965867952,7824.8,8770.22,11464.48,9694.51,8470.15,8134.23,7795.51,7949.3,7090.14,6840.23,6923.91
